ch1,ch2,ch3,ch4
0.024032593,5.3928375,-0.0053100586,3.831482
0.022842407,5.374527,-0.01121521,3.855896
0.019363403,5.3813934,-0.013000488,3.8757324
0.018997192,5.398178,-0.0124053955,3.8375854
0.018722534,5.3771973,-0.014053345,3.8146973
0.015930176,5.384445,-0.00920105,3.8497925
0.011169434,5.3970337,0.004623413,3.8467407
0.008834839,5.373764,0.01776123,3.8650513
0.009155273,5.37796,0.022888184,3.7948608
0.010253906,5.3806305,0.017166138,3.1417847
0.014602661,5.3962708,0.006362915,3.8070679
0.017990112,5.374527,-0.00032043457,3.8070679
0.018356323,5.3836823,0.0008239746,3.8238525
0.01927185,5.39093,-0.004989624,3.7734985
0.018539429,5.374527,-0.009475708,3.7780762
0.017349243,5.3836823,-0.0053100586,3.8131714
0.02027893,5.3928375,0.008972168,3.7658691
0.025497437,5.373764,-0.0050811768,3.7780762
0.02760315,5.3813934,-0.024124146,3.8131714
0.0259552,5.393219,-0.021057129,3.779602
0.025863647,5.374527,-0.003479004,3.7704468
0.024124146,5.3836823,0.0006866455,3.7902832
0.025680542,5.391693,-0.015426636,3.7658691
0.02796936,5.373001,0.0031585693,3.767395
0.026138306,5.3806305,-0.012771606,3.7948608
0.023391724,5.3970337,0.009384155,3.7490845
0.024032593,5.373001,0.017532349,3.7521362
0.026229858,5.379486,0.021148682,3.7826538
0.030532837,5.4035187,0.0110321045,3.7399292
0.031173706,5.383301,-0.016067505,3.7658691
0.026870728,5.3943634,-0.018814087,3.7322998
0.022888184,5.3749084,-0.021377563,3.7704468
0.020004272,5.3791046,-0.0062713623,3.7322998
0.019226074,5.3905487,-0.010803223,3.717041
0.023986816,5.373001,-0.030715942,3.742981
0.023803711,5.381775,-0.013687134,3.7063599
0.022567749,5.37529,-0.002380371,3.741455
0.021835327,5.373764,0.02558899,3.7506104
0.021652222,5.3829193,0.006866455,3.7094116
0.021102905,5.374527,-0.0064086914,3.730774
0.017715454,5.376053,-0.013504028,3.6972046
0.011947632,5.3813934,-0.0158844,3.6849976
0.00970459,5.3905487,-0.008834839,3.691101
0.011077881,5.400467,-0.0016479492,3.68042
0.013046265,5.3726196,-0.0051727295,3.6849976
0.013366699,5.3829193,0.017486572,3.7216187
0.011947632,5.385208,0.008834839,3.6590576
0.011581421,5.374527,-0.02027893,3.668213
0.013961792,5.3733826,-0.022018433,3.6972046
0.012588501,5.3813934,-0.0049438477,3.6483765
0.0101623535,5.3821564,0.0005950928,3.6575317
0.012496948,5.3970337,0.009292603,3.6636353
0.014694214,5.373001,0.013412476,3.642273
0.016296387,5.3821564,0.0079193115,3.6514282
0.016342163,5.3878784,0.014877319,3.6392212
0.015975952,5.373001,0.014694214,3.6453247
0.017166138,5.3775787,-0.0061798096,3.5385132
0.014694214,5.385208,-0.015335083,3.6209106
0.014602661,5.4142,-0.013320923,3.6361694
0.016021729,5.3707123,-0.0053100586,3.6605835
0.016067505,5.3798676,-0.019638062,3.6148071
0.014831543,5.394745,-0.0048980713,3.6117554
0.012496948,5.374527,-0.011489868,3.6483765
0.011489868,5.385208,0.0038909912,3.5964966
0.010803223,5.372238,0.0012817383,3.6071777
0.011444092,5.373001,-0.0061798096,3.6331177
0.011123657,5.378723,0.0061798096,3.6026
0.011398315,5.3913116,0.009109497,3.4362793
0.012496948,5.372238,0.0146484375,3.5827637
0.0137786865,5.3791046,0.0006866455,3.5934448
0.01423645,5.381775,-0.01725769,3.6270142
0.01789856,5.4058075,-0.008239746,3.5705566
0.019363403,5.3710938,-0.007736206,3.4744263
0.017578125,5.3783417,-0.023345947,3.5736084
0.012039185,5.389023,-0.0011901855,3.5873413
0.009017944,5.371475,0.0010528564,3.6071777
0.0075531006,5.3699493,0.0058135986,3.553772
0.0045776367,5.380249,0.011306763,3.5568237
0.0009613037,5.3821564,0.004623413,3.5446167
0.00022888184,5.3993225,0.003112793,3.5461426
0.0004119873,5.370331,-0.012268066,3.5354614
0.0010528564,5.3733826,-0.0015563965,3.5232544
0.004348755,5.3821564,-0.00920105,3.5598755
0.01020813,5.394745,-0.0020599365,3.5140991
0.015975952,5.3726196,-0.0041656494,3.5507202
0.02229309,5.376816,-0.0079193115,2.8549194
0.030670166,5.389786,-0.016571045,3.5171509
0.036758423,5.371475,-0.01473999,3.5140991
0.039413452,5.3726196,-0.0048065186,3.5385132
0.04206848,5.3756714,0.004623413,3.5232544
0.04486084,5.3848267,0.011581421,3.5202026
0.047424316,5.412674,0.00819397,3.5186768
0.05204773,5.3676605,-0.0034332275,3.529358
0.05607605,5.37796,-0.0035247803,3.4805298
0.058502197,5.4130554,-0.029800415,3.4866333
0.05923462,5.37529,-0.022201538,3.4851074
0.06037903,5.3707123,-0.0037078857,3.5140991
0.06614685,5.3775787,0.0067749023,3.4683228
0.07136536,5.3848267,0.007095337,3.0929565
0.07635498,5.3691864,-0.005722046,3.4713745
0.080566406,5.37529,-0.027145386,3.489685
0.08381653,5.3848267,-0.02243042,3.4957886
0.08811951,5.395508,-0.006362915,3.477478
0.09365845,5.368805,-0.014328003,3.4744263
0.10542297,5.376816,0.008010864,3.4164429
0.11668396,5.37529,0.004211426,2.9708862
0.1280365,5.3806305,-0.0032043457,3.4362793
0.14048767,5.3878784,-0.0039367676,3.42865
0.1497345,5.3951263,0.0016021729,3.4103394
0.15618896,5.3668976,0.006088257,3.465271
0.15705872,5.376816,0.004714966,3.4255981
0.15440369,5.392456,0.029434204,3.4042358
0.15060425,5.3668976,0.016799927,3.4500122
0.14781189,5.373001,0.015151978,3.3996582
0.14204407,5.4065704,-0.0064086914,3.3950806
0.13398743,5.373001,-0.019180298,3.4317017
0.12556458,5.3806305,-0.0041656494,3.3996582
0.12043762,5.3943634,-0.0010528564,3.3828735
0.11833191,5.367279,0.013504028,3.401184
0.11773682,5.3798676,0.011169434,3.401184
0.112838745,5.3756714,-0.0115356445,3.4317017
0.10899353,5.3920746,-0.0158844,3.3599854
0.107162476,5.3691864,-0.010482788,3.37677
0.10798645,5.372238,-0.0064086914,3.363037
0.1071167,5.4180145,-0.00091552734,3.3554077
0.101760864,5.38826,0.0037078857,3.388977
0.09562683,5.369568,-0.013961792,3.3798218
0.08747864,5.3726196,-0.013046265,3.352356
0.07740784,5.376816,0.00091552734,3.3432007
0.0652771,5.3970337,-0.008972168,3.352356
0.05369568,5.368042,-0.006454468,3.3859253
0.04385376,5.376816,-0.0066375732,3.35083
0.037216187,5.378723,0.003250122,2.8137207
0.0342865,5.396652,0.005126953,3.3187866
0.03263855,5.369568,-0.02027893,3.3187866
0.03062439,5.373764,-0.025314331,3.3309937
0.026138306,5.3905487,-0.004119873,3.340149
0.020050049,5.3691864,-0.005722046,3.0960083
0.014190674,5.3783417,-0.013504028,3.289795
0.0072784424,5.380249,-0.012084961,3.302002
0.0015106201,5.3905487,-0.004989624,3.2974243
-0.0011444092,5.368042,0.0014190674,3.288269
-0.001876831,5.3726196,0.013366699,3.3157349
-0.0023345947,5.376053,0.008880615,3.3050537
-0.0037078857,5.386734,-0.0034332275,3.3309937
-0.0048980713,5.3676605,-0.008514404,3.2791138
-0.0076446533,5.367279,-0.013916016,3.2577515
-0.010757446,5.374527,-0.016433716,3.2608032
-0.015335083,5.373001,-0.0012817383,3.2745361
-0.0209198,5.3848267,-0.0025177002,3.2974243
-0.027328491,5.3691864,-0.0029754639,3.2363892
-0.035476685,5.3676605,0.003616333,2.89917
-0.039413452,5.3775787,0.021057129,3.2333374
-0.040374756,5.3783417,0.044815063,3.2363892
-0.039138794,5.389786,0.03300476,3.2546997
-0.036209106,5.368805,-0.004623413,3.2302856
-0.03387451,5.3668976,-0.018997192,3.2470703
-0.03236389,5.3699493,-0.021011353,3.2241821
-0.03451538,5.3756714,-0.023895264,3.227234
-0.03794861,5.373001,-0.024215698,3.2089233
-0.042160034,5.3733826,-0.023757935,3.2196045
-0.042251587,5.376053,-0.014877319,3.2546997
-0.03945923,5.3863525,-0.00077819824,3.227234
-0.038406372,5.3668976,-0.0025177002,3.0532837
-0.039505005,5.3756714,-0.016067505,3.1936646
-0.040008545,5.373001,-0.02746582,3.189087
-0.037124634,5.3848267,-0.015655518,3.1814575
-0.037582397,5.3684235,0.019638062,3.1799316
-0.04046631,5.37529,0.008880615,3.1936646
-0.043441772,5.387497,0.005722046,3.1723022
-0.048110962,5.367279,-0.02128601,3.0899048
-0.054519653,5.3684235,-0.010757446,3.1570435
-0.057678223,5.3718567,0.008972168,3.1921387
-0.05470276,5.3836823,-0.0063171387,3.1356812
-0.051452637,5.3668976,-0.0115356445,3.199768
-0.053512573,5.3676605,0.001739502,3.1448364
-0.052139282,5.3710938,-0.0001373291,2.6016235
-0.031814575,5.3829193,-0.01373291,3.1448364
0.0014190674,5.396652,-0.004714966,3.1448364
0.037857056,5.364609,0.014877319,3.1326294
0.0761261,5.363083,0.015563965,3.1265259
0.11251831,5.374527,0.007736206,3.1311035
0.15216064,5.376053,0.010848999,3.1570435
0.1867218,5.3813934,0.01373291,3.1478882
0.2132721,5.3928375,0.0065460205,3.138733
0.22499084,5.3634644,0.0061798096,2.9800415
0.2216034,5.363083,0.0077819824,3.086853
0.2233429,5.3642273,0.010025024,2.4429321
0.23382568,5.374527,0.005355835,3.086853
0.24659729,5.3798676,0.0045318604,3.086853
0.27044678,5.4145813,0.025177002,3.1021118
0.31269836,5.363846,0.03414917,3.1082153
0.36062622,5.3775787,0.02760315,3.1143188
0.41349792,5.371475,0.0048980713,3.1021118
0.4914093,5.384445,-0.0044403076,3.1036377
0.6004486,5.431366,-0.014785767,3.0471802
0.68540955,5.36232,-0.006362915,3.0532837
0.6773529,5.3707123,-0.014465332,3.0838013
0.5737152,5.3836823,-0.028244019,3.0776978
0.45835876,5.366516,-0.025817871,2.6687622
0.35417175,5.373764,-0.022750854,3.0471802
0.25946045,5.3798676,-0.031906128,3.0410767
0.2086029,5.374527,-0.03479004,3.062439
0.2194519,5.3821564,-0.02861023,3.0578613
0.27809143,5.3913116,-0.027877808,3.0456543
0.31915283,5.3985596,-0.030212402,3.024292
0.32221985,5.367279,-0.041427612,3.0334473
0.30729675,5.3653717,-0.034606934,3.0319214
0.28440857,5.3783417,-0.022247314,3.0014038
0.26087952,5.3775787,-0.017715454,3.0441284
0.23973083,5.397415,0.006500244,2.986145
0.23149109,5.368042,0.017303467,2.9891968
0.23240662,5.3741455,0.008285522,3.0288696
0.23350525,5.38826,-0.0041656494,2.973938
0.22270203,5.3684235,-0.0032043457,2.987671
0.19624329,5.3707123,-0.018859863,2.9846191
0.15403748,5.3821564,-0.017303467,2.9754639
0.100753784,5.4058075,-0.01020813,2.9769897
0.04637146,5.3684235,-0.008010864,3.0090332
-0.0030670166,5.373764,-0.001876831,2.9632568
-0.041885376,5.3775787,0.009384155,2.961731
-0.07173157,5.38826,0.022018433,2.961731
-0.09429932,5.3676605,0.03831482,2.986145
-0.10670471,5.374527,0.03263855,2.9434204
-0.10784912,5.3985596,0.040145874,2.9937744
-0.10697937,5.376053,0.0068206787,2.9403687
-0.111190796,5.3821564,-0.04536438,2.9418945
-0.119522095,5.4000854,-0.062026978,2.961731
-0.13027954,5.366516,-0.028381348,2.9678345
-0.14291382,5.3764343,-0.011123657,2.8701782
-0.15394592,5.3829193,-0.0045318604,2.9403687
-0.16218567,5.366516,0.0079193115,2.922058
-0.16648865,5.373001,0.003982544,2.9159546
-0.1681366,5.374527,0.009384155,2.9251099
