ch1,ch2,ch3,ch4
0.18525696,4.7714233,-0.0004119873,4.9453735
0.17903137,4.781723,0.0053100586,4.966736
0.17234802,4.7927856,-0.0038452148,4.9057007
0.17060852,4.7725677,-0.010345459,4.9453735
0.17390442,4.7714233,-0.018310547,4.925537
0.18122864,4.776001,-0.002243042,4.951477
0.1865387,4.7927856,0.005722046,4.9209595
0.18878174,4.7733307,0.010391235,4.9728394
0.1927185,4.7821045,0.0048065186,4.9575806
0.19248962,4.8038483,0.0066375732,5.0064087
0.19281006,4.7786713,-0.0048980713,4.966736
0.19194031,4.781723,-0.0033416748,4.8706055
0.18901062,4.8225403,-0.010528564,4.975891
0.18113708,4.7786713,-0.015701294,5.003357
0.16905212,4.771805,-0.0050354004,4.978943
0.15092468,4.7908783,-0.009841919,5.0308228
0.13389587,4.7821045,0.0028381348,5.027771
0.12638855,4.803467,-0.0037078857,4.9942017
0.12510681,4.7756195,-0.014968872,5.0186157
0.12666321,4.7836304,-0.024215698,5.0231934
0.13398743,4.8107147,-0.011764526,4.9942017
0.14163208,4.7740936,-0.008010864,5.0109863
0.14753723,4.7786713,0.0014190674,5.039978
0.15000916,4.8122406,-0.0028381348,5.015564
0.15357971,4.781723,-0.018859863,5.0064087
0.1532135,4.794693,-0.022109985,5.0582886
0.15010071,4.7740936,0.003250122,5.012512
0.15055847,4.781723,0.008560181,5.0216675
0.14506531,4.8042297,-0.018127441,5.04303
0.13861084,4.7748566,-0.0049438477,5.0613403
0.1365509,4.780197,-0.007369995,5.055237
0.13865662,4.803467,-0.015472412,5.039978
0.15010071,4.7748566,-0.015060425,5.0369263
0.16062927,4.78096,-0.006134033,5.0354004
0.1671753,4.7992706,0.0021514893,5.041504
0.1708374,4.774475,-0.0004119873,5.0735474
0.17633057,4.783249,0.0009613037,5.039978
0.1815033,4.7756195,-0.005996704,5.0445557
0.18598938,4.781723,-0.002609253,4.911804
0.18772888,4.809189,0.009155273,5.053711
0.1847992,4.7763824,0.009475708,5.0857544
0.17907715,4.795456,0.007369995,5.0476074
0.17115784,4.7740936,-0.013595581,5.088806
0.16319275,4.7893524,-0.0115356445,5.039978
0.1599884,4.7763824,-0.012588501,5.055237
0.1598053,4.7828674,-0.01739502,5.052185
0.1580658,4.79393,-0.009292603,5.0827026
0.15673828,4.776001,-0.0012817383,5.0598145
0.1599884,4.783249,0.012634277,5.0567627
0.16351318,4.801941,0.023712158,5.0704956
0.16777039,4.7763824,0.03062439,5.1101685
0.17124939,4.788208,0.0020599365,5.062866
0.17111206,4.7771454,-0.010482788,5.093384
0.16767883,4.7473907,-0.016525269,4.8843384
0.15293884,4.776764,-0.008972168,5.0613403
0.13838196,4.7855377,-0.003112793,5.0857544
0.12432861,4.779434,-0.008239746,5.067444
0.113479614,4.786682,0.007369995,5.067444
0.11141968,4.793167,0.008926392,5.0811768
0.10858154,4.808426,0.011489868,5.088806
0.10185242,4.7786713,0.0066833496,5.1101685
0.09883118,4.7863007,-0.005264282,5.0109863
0.088394165,4.8080444,-0.014190674,5.076599
0.07511902,4.78096,-0.017349243,5.0720215
0.06678772,4.785919,-0.0259552,5.093384
0.06175232,4.801178,-0.018081665,5.076599
0.057724,4.7786713,-0.018997192,5.101013
0.05305481,4.7863007,-0.0059051514,5.091858
0.046325684,4.802704,0.002609253,4.951477
0.038131714,4.7790527,-0.01890564,5.0735474
0.035202026,4.786682,-0.012039185,5.076599
0.03300476,4.827118,0.012863159,5.1193237
0.033187866,4.782486,0.008972168,5.0735474
0.03364563,4.7851562,-0.009063721,5.0735474
0.029525757,4.79393,-0.017486572,5.067444
0.022018433,4.782486,-0.0024261475,5.067444
0.011306763,4.784012,0.003112793,5.1071167
0.004623413,4.801941,0.00920105,5.0613403
0.0005950928,4.779434,0.0020599365,5.064392
-0.0015106201,4.788971,-0.0066375732,5.0964355
-0.0020599365,4.808426,-0.012863159,5.11322
-0.0015106201,4.779434,-0.0066833496,5.0369263
0.0015106201,4.789734,-0.0051727295,5.076599
0.004211426,4.801178,-0.0037078857,5.0735474
0.007873535,4.7828674,-0.0026550293,5.0582886
0.014511108,4.790497,-0.002380371,5.091858
0.020645142,4.8072815,-0.008331299,5.0735474
0.021835327,4.791641,0.0028839111,5.1071167
0.016433716,4.809189,-0.0037078857,5.0598145
0.012496948,4.78096,0.0066833496,5.0613403
0.009567261,4.7908783,0.009567261,5.0613403
0.0076446533,4.794693,-0.0041656494,5.0567627
0.009017944,4.808426,0.007369995,5.076599
0.013641357,4.7821045,0.0031585693,4.5303345
0.016159058,4.7901154,-0.0053100586,5.052185
0.016113281,4.8130035,-0.018585205,5.0598145
0.015151978,4.784775,-0.012954712,5.091858
0.010894775,4.793167,-0.008285522,5.088806
-0.00050354004,4.783249,-0.009109497,5.067444
-0.013320923,4.791641,-0.004211426,5.039978
-0.01927185,4.8030853,-0.008239746,5.0491333
-0.023071289,4.7828674,-0.00920105,5.0582886
-0.026687622,4.791641,-0.005493164,5.0582886
-0.024856567,4.8030853,-0.0028381348,5.0720215
-0.015701294,4.7805786,0.008651733,5.038452
-0.010025024,4.792404,0.0035705566,4.4662476
-0.0046691895,4.801941,0.0045776367,5.0308228
0.009338379,4.781723,0.0029754639,5.0323486
0.037902832,4.793167,0.0065460205,5.0369263
0.07914734,4.802704,0.010070801,5.0369263
0.113479614,4.7798157,0.004623413,5.0735474
0.13352966,4.793167,0.015060425,5.04303
0.15522766,4.8069,0.0016937256,5.055237
0.18370056,4.78096,0.0040740967,5.0064087
0.2084198,4.788971,0.018997192,5.024719
0.21492004,4.811096,0.027511597,5.024719
0.21894836,4.78096,0.02394104,5.0369263
0.22892761,4.792404,0.019088745,5.0369263
0.2427063,4.801941,0.021560669,5.000305
0.26060486,4.7836304,0.018539429,5.0308228
0.28216553,4.793167,0.007598877,5.0109863
0.31306458,4.809189,0.0016479492,5.015564
0.3413086,4.78096,-0.00045776367,5.0354004
0.3804474,4.7927856,-0.007736206,5.003357
0.4495697,4.813385,-0.020553589,4.99115
0.55133057,4.780197,-0.0158844,4.989624
0.61628723,4.7908783,-0.0054473877,5.012512
0.56025696,4.813385,0.009017944,5.0323486
0.4257202,4.7855377,-0.0026550293,4.988098
0.29832458,4.7992706,-0.010299683,4.9850464
0.19541931,4.7885895,-0.0013275146,4.9972534
0.11462402,4.796982,0.00077819824,4.9942017
0.07292175,4.8069,-0.0155181885,4.9697876
0.09361267,4.7843933,-0.038497925,4.963684
0.1640625,4.791641,-0.033462524,4.9697876
0.22727966,4.8122406,-0.047058105,4.966736
0.26605225,4.7855377,-0.039276123,4.953003
0.28330994,4.7977448,-0.031219482,4.9484253
0.2771759,4.8080444,-0.026184082,4.9468994
0.2636261,4.7863007,-0.010391235,4.954529
0.25364685,4.798889,-0.010574341,4.9331665
0.25653076,4.785919,-0.016799927,4.937744
0.2723236,4.7992706,-0.015197754,4.951477
0.28019714,4.8122406,-0.007965088,4.962158
0.26641846,4.786682,0.00022888184,4.9591064
0.2320404,4.794693,-0.0005493164,4.937744
0.18745422,4.8023224,0.00050354004,4.7439575
0.13664246,4.814911,0.0014648438,4.914856
0.083724976,4.7908783,-0.000869751,4.940796
0.028152466,4.7908783,0.010437012,4.949951
-0.016708374,4.7992706,-0.008651733,4.942322
-0.053375244,4.814911,-0.006500244,4.8843384
-0.08024597,4.790497,-0.0029754639,4.9087524
-0.09100342,4.7985077,0.0021514893,4.8934937
-0.08605957,4.8179626,0.0075531006,4.890442
-0.09210205,4.7901154,-0.0071868896,4.8812866
-0.1104126,4.7992706,0.0137786865,4.8843384
-0.13352966,4.7901154,-0.006454468,4.91333
-0.1533966,4.798889,-0.002243042,4.8858643
-0.1642456,4.8069,-0.0026550293,4.866028
-0.16818237,4.7901154,-0.008743286,4.8721313
-0.17166138,4.7985077,0.0049438477,4.866028
-0.17582703,4.805374,0.004714966,4.890442
-0.17276001,4.7893524,0.0005950928,4.850769
-0.1698761,4.7958374,-0.0158844,4.8446655
-0.16850281,4.8171997,-0.008651733,4.8446655
-0.16607666,4.7885895,-0.0004119873,4.8446655
-0.16369629,4.7935486,0.00032043457,4.864502
-0.16241455,4.811096,0.0045318604,4.838562
-0.16227722,4.7901154,-0.0011444092,4.8568726
-0.15797424,4.801941,-0.006729126,4.8324585
-0.15412903,4.7893524,-0.012039185,4.701233
-0.15028381,4.793167,-0.0038452148,4.826355
-0.14808655,4.823303,-0.014328003,4.8446655
-0.15065002,4.794693,-0.013687134,4.798889
-0.15989685,4.821396,-0.0029754639,4.824829
-0.17958069,4.7920227,0.0004119873,4.837036
-0.20677185,4.8015594,-0.0027923584,4.73938
-0.2252655,4.792404,-0.0058135986,4.7973633
-0.22782898,4.792404,0.0059051514,4.7943115
-0.22087097,4.796982,0.0024261475,4.8202515
-0.20549011,4.8122406,-0.00920105,4.7668457
-0.19075012,4.789734,-0.002609253,4.762268
-0.17408752,4.7977448,-4.5776367e-05,4.7714233
-0.154953,4.817581,0.010528564,4.760742
-0.14378357,4.796982,0.023117065,4.788208
-0.1381073,4.8107147,0.017028809,4.7592163
-0.13911438,4.788971,0.014144897,4.786682
-0.14456177,4.7958374,0.0049438477,4.750061
-0.14845276,4.814911,-0.01689148,4.7348022
-0.15481567,4.7943115,-0.03227234,4.751587
-0.16181946,4.8023224,-0.016937256,4.774475
-0.1671753,4.7901154,-0.013320923,4.7439575
-0.16401672,4.795456,-0.0025177002,4.725647
-0.15765381,4.805374,0.001739502,4.7317505
-0.14543152,4.788971,0.014053345,4.737854
-0.13691711,4.796219,-0.015792847,4.7088623
-0.13421631,4.7893524,0.007965088,4.737854
-0.13206482,4.794693,0.0066375732,4.7042847
-0.13334656,4.829788,-0.0055389404,4.737854
-0.1433258,4.7950745,-0.0033416748,4.701233
-0.1506958,4.807663,-0.024673462,4.698181
-0.15509033,4.7958374,-0.015563965,4.6844482
-0.1599884,4.791641,-0.009796143,4.7180176
-0.17408752,4.795456,-0.013595581,4.6798706
-0.1824646,4.7901154,-0.0124053955,4.702759
-0.18489075,4.798889,0.005218506,4.6829224
-0.18283081,4.8065186,0.011169434,4.6707153
-0.1648407,4.7893524,-0.008743286,4.652405
-0.14872742,4.7977448,0.015792847,4.649353
-0.13833618,4.811096,0.007827759,4.673767
-0.13883972,4.789734,-4.5776367e-05,4.685974
-0.14598083,4.798889,0.0015106201,4.6310425
-0.15838623,4.8103333,0.0044403076,4.624939
-0.16864014,4.791641,0.001876831,4.6325684
-0.17372131,4.7618866,-0.008056641,4.6279907
-0.18255615,4.7908783,0.0029296875,4.6401978
-0.19056702,4.7973633,-4.5776367e-05,4.638672
-0.1880951,4.811859,-0.017166138,4.5562744
-0.17953491,4.788971,-0.01739502,4.6081543
-0.17253113,4.798889,-0.0033416748,4.597473
-0.16584778,4.791641,-0.008239746,4.598999
-0.16044617,4.796982,-0.011398315,4.597473
-0.15623474,4.809952,-0.004348755,4.60968
-0.15312195,4.7927856,-0.008514404,4.585266
-0.14982605,4.804611,0.0061798096,4.576111
-0.14186096,4.788971,0.009292603,4.597473
-0.14176941,4.798126,0.022476196,4.573059
-0.14616394,4.8103333,0.0019683838,4.5669556
-0.14790344,4.790497,-0.0016937256,4.571533
-0.1539917,4.7950745,-0.009338379,4.548645
-0.16786194,4.8122406,-0.013137817,4.560852
-0.17829895,4.7927856,0.003250122,4.408264
-0.18067932,4.801941,0.0024261475,4.547119
-0.18292236,4.791641,0.0013275146,4.547119
-0.18818665,4.7973633,-0.006729126,4.5455933
-0.19821167,4.8042297,-0.014465332,4.5150757
-0.20947266,4.7901154,-0.02458191,4.5272827
-0.21510315,4.794693,-0.011123657,4.5455933
-0.21510315,4.814148,0.014328003,4.5059204
-0.21418762,4.799652,0.0048980713,4.5150757
-0.21098328,4.822159,-0.0069122314,3.93219
-0.20439148,4.7977448,-0.007369995,4.4906616
-0.19509888,4.801941,-0.010391235,4.501343
-0.1843872,4.8267365,-0.0048065186,4.512024
-0.17596436,4.79126,-0.002380371,4.508972
-0.169281,4.795456,-0.010574341,4.3899536
-0.16241455,4.8267365,0.0071411133,4.473877
-0.15412903,4.789734,0.017532349,4.4662476
-0.1464386,4.7992706,0.0038452148,4.4784546
-0.14419556,4.7992706,0.0033874512,4.450989
-0.14277649,4.81987,0.002243042,4.4937134
-0.1396637,4.801178,0.01373291,4.447937
-0.1512909,4.806137,0.013824463,4.450989
-0.16905212,4.7927856,0.006088257,4.46167
-0.18269348,4.7935486,-0.017166138,4.4418335
-0.1981659,4.8000336,-0.011398315,4.4662476
-0.21720886,4.813385,-0.0038452148,4.425049
-0.227005,4.791641,0.0063171387,4.4021606
-0.23835754,4.7992706,0.0061798096,4.425049
-0.2421112,4.799652,-0.0004119873,4.40979
-0.24330139,4.8152924,-0.018356323,4.4021606
-0.24517822,4.794693,-0.044265747,4.425049
-0.241745,4.798889,-0.03717041,4.43573
-0.23579407,4.811096,-0.011489868,4.4021606
-0.2283783,4.792404,0.0069122314,4.408264
-0.22050476,4.7950745,0.0055389404,4.396057
-0.20887756,4.803467,-0.0012359619,4.4143677
-0.20196533,4.7920227,-0.004714966,4.3777466
-0.19248962,4.795456,-0.012771606,4.3777466
-0.19056702,4.8000336,-0.022155762,4.3685913
-0.20805359,4.8145294,-0.009109497,4.3685913
-0.23812866,4.7927856,0.0060424805,4.400635
-0.2636261,4.801941,0.0158844,4.3411255
-0.2707672,4.8114777,0.0079193115,4.3518066
-0.2605133,4.7927856,-0.0048980713,4.347229
-0.2419281,4.796219,-0.0048065186,4.350281
-0.22242737,4.800415,-0.014968872,4.3533325
-0.19413757,4.8107147,-0.022659302,4.3563843
-0.16616821,4.7908783,-0.02229309,4.3258667
-0.14781189,4.796219,-0.012588501,4.324341
-0.13435364,4.809952,-0.0012817383,4.3167114
-0.12098694,4.79126,0.014282227,4.3136597
-0.10441589,4.7977448,0.008560181,4.3029785
-0.09828186,4.8069,0.0027923584,4.335022
-0.102493286,4.792404,-0.0054473877,4.3167114
-0.11723328,4.795456,-0.0045776367,4.322815
-0.13352966,4.801941,-0.008422852,4.283142
-0.14231873,4.8023224,-0.013961792,4.298401
-0.14048767,4.794693,-0.007827759,4.2800903
-0.1179657,4.801941,-0.008605957,4.270935
-0.09132385,4.793167,-0.0026550293,4.270935
-0.07626343,4.7920227,0.017990112,4.258728
-0.06376648,4.796982,0.006088257,4.2678833
-0.05369568,4.81987,0.0012817383,4.2922974
-0.050445557,4.801941,-0.013000488,4.2556763
-0.055526733,4.79393,-0.012908936,4.2770386
-0.0660553,4.798126,-0.022476196,4.2373657
-0.072280884,4.813385,-0.017715454,4.2419434
-0.0710907,4.792404,-0.0029754639,4.2404175
-0.06990051,4.8023224,0.01020813,4.2419434
-0.06687927,4.793167,0.014511108,4.2526245
-0.07058716,4.8023224,0.011581421,4.2266846
-0.072280884,4.813385,0.022384644,4.2099
-0.06742859,4.7927856,0.002746582,4.219055
-0.069122314,4.8023224,-0.01222229,4.2373657
-0.08125305,4.79393,-0.03488159,4.060364
-0.09210205,4.798889,-0.030532837,4.2007446
-0.10560608,4.8103333,-0.028518677,4.196167
-0.11457825,4.79126,-0.015472412,4.219055
-0.115997314,4.8000336,-0.010940552,4.2099
-0.11265564,4.793167,-0.004348755,4.185486
-0.10441589,4.8065186,-0.005355835,4.2053223
-0.090408325,4.792404,0.023025513,4.185486
-0.07562256,4.804611,0.012542725,4.173279
-0.0594635,4.791641,0.007736206,4.173279
-0.045455933,4.7973633,0.00032043457,4.156494
-0.035705566,4.820633,-0.005996704,4.168701
-0.026184082,4.7992706,0.010665894,4.156494
-0.017990112,4.805374,0.005722046,4.1488647
-0.019729614,4.818344,-0.0019683838,4.144287
-0.026687622,4.796982,-0.0037078857,4.1397095
-0.03703308,4.811859,-0.004211426,4.1519165
-0.0393219,4.793167,0.0017852783,4.1397095
-0.037719727,4.805374,0.00018310547,4.145813
-0.034332275,4.793167,-0.007369995,4.1244507
-0.02861023,4.8007965,-0.0124053955,3.9749146
-0.021652222,4.809189,-0.006454468,4.107666
-0.013824463,4.7908783,-0.007232666,4.1152954
-0.012130737,4.8023224,0.0016479492,4.1366577
-0.015060425,4.811096,-0.0030670166,4.1000366
-0.024490356,4.7908783,-0.0048980713,4.1030884
-0.037399292,4.7992706,-0.009933472,4.096985
-0.049621582,4.809189,-0.008010864,4.1000366
-0.062301636,4.791641,-0.0058135986,4.1152954
-0.07695007,4.8007965,-0.0065460205,4.0893555
-0.08647156,4.8088074,0.004257202,4.0786743
-0.08514404,4.7920227,0.0079193115,4.069519
-0.07745361,4.796219,0.0033874512,4.083252
-0.06340027,4.811859,-0.001876831,4.093933
-0.050582886,4.789734,-0.008834839,4.0542603
-0.051223755,4.7966003,-0.0069122314,4.0527344
-0.061569214,4.814911,-0.01423645,4.0512085
-0.08317566,4.7908783,-0.0010070801,4.0512085
-0.09590149,4.8000336,-0.012954712,4.072571
-0.09429932,4.8324585,-0.008926392,4.0664673
-0.07658386,4.799652,-0.0050354004,4.045105
-0.054977417,4.829788,-0.003982544,4.0634155
-0.043395996,4.798126,-0.010391235,4.022217
-0.0309906,4.8103333,0.0005493164,4.031372
-0.020736694,4.790497,-0.013595581,4.0267944
-0.019546509,4.7985077,-0.014968872,4.0359497
-0.03616333,4.8236847,-0.010940552,4.0374756
-0.06550598,4.7901154,-0.013687134,4.005432
